param_name,param_value
test_loss,1.1114548444747925
test_acc_macro,0.6405042409896851
test_acc_micro,0.6282051205635071
test_rocauc,0.8663582801818848
test_f1_macro,0.6377482414245605
test_f1_micro,0.6282051205635071
test_mcc,0.5427583456039429
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,resnet
num_mlp_layers,3
num_mlp_neurons,512
freeze_backbone,False
