param_name,param_value
test_loss,1.3436518907546997
test_acc_macro,0.6767222881317139
test_acc_micro,0.6581196784973145
test_rocauc,0.9129884243011475
test_f1_macro,0.669302225112915
test_f1_micro,0.6581196784973145
test_mcc,0.581285297870636
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,False
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,resnet_imagenet
num_mlp_layers,3
num_mlp_neurons,512
freeze_backbone,False
