param_name,param_value
test_loss,0.3502463698387146
test_acc_macro,0.8798133134841919
test_acc_micro,0.867521345615387
test_rocauc,0.9850119352340698
test_f1_macro,0.8771554827690125
test_f1_micro,0.867521345615387
test_mcc,0.838224470615387
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,True
keep_aspect_ratio_eval,True
num_workers,-1
backbone,vicregl_convnext_xlarge
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,True
