param_name,param_value
test_loss,0.5765894651412964
test_acc_macro,0.8267098665237427
test_acc_micro,0.8247863054275513
test_rocauc,0.9554656744003296
test_f1_macro,0.8335793018341064
test_f1_micro,0.8247863054275513
test_mcc,0.7878797054290771
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,False
keep_aspect_ratio,True
keep_aspect_ratio_eval,True
num_workers,-1
backbone,vicregl_resnet
num_mlp_layers,3
num_mlp_neurons,512
freeze_backbone,False
